,avg_dist,avg_rating_by_driver,avg_rating_of_driver,avg_inc_price,inc_pct,weekday_pct,fancy_car_user,city_Carthag,city_Harko,phone_iPhone,first_month_cat_more_1_trip,first_month_cat_no_trips,month_5_still_here
0,9.03,5.0,4.0,1.13,50.0,100.0,False,0,0,1,0,0,0
1,17.34,5.0,4.0,1.0,0.0,0.0,False,0,0,1,0,1,1
2,21.13,5.0,1.0,1.0,0.0,100.0,False,0,0,1,0,0,0
3,7.92,5.0,4.7,1.0,0.0,100.0,True,0,1,0,0,1,1
4,1.46,4.5,5.0,1.0,0.0,100.0,False,1,0,1,0,0,0
6,1.95,4.4,3.8,1.15,13.3,60.0,True,1,0,1,1,0,0
7,1.93,4.8,4.6,1.21,42.9,64.3,False,0,0,1,1,0,1
9,10.27,3.0,5.0,1.0,0.0,0.0,False,0,0,1,0,1,0
10,5.63,5.0,1.0,1.0,0.0,50.0,False,0,1,0,1,0,0
12,13.2,5.0,5.0,1.25,50.0,100.0,False,1,0,1,0,1,0
13,4.86,5.0,4.0,1.0,0.0,33.3,False,0,0,0,0,0,1
14,8.35,5.0,5.0,1.21,16.7,50.0,True,1,0,1,1,0,0
15,2.05,4.8,4.6,1.02,8.3,83.3,False,0,0,1,1,0,1
16,7.0,4.9,4.3,1.23,27.1,25.0,False,0,0,1,1,0,1
17,1.81,4.9,4.9,1.01,1.7,72.4,False,0,1,1,1,0,1
18,4.66,5.0,4.7,1.0,0.0,36.4,True,0,0,0,1,0,1
19,6.43,5.0,4.3,1.44,25.0,50.0,False,0,0,1,0,1,0
20,0.4,3.0,5.0,1.0,0.0,100.0,False,1,0,1,0,1,0
22,7.33,5.0,5.0,1.0,0.0,75.0,False,0,1,1,0,0,1
24,4.03,5.0,5.0,1.19,33.3,55.6,False,0,1,1,0,1,1
26,4.94,4.7,4.0,1.0,0.0,0.0,True,0,0,1,1,0,1
28,1.27,4.7,4.0,1.0,0.0,100.0,False,1,0,1,1,0,0
29,3.18,4.6,5.0,1.18,18.2,54.5,True,0,0,1,0,1,1
30,31.66,5.0,4.7,1.0,0.0,100.0,False,0,1,0,1,0,1
31,3.16,5.0,3.3,1.19,25.0,50.0,False,0,0,1,1,0,0
32,21.3,5.0,5.0,1.0,0.0,100.0,False,0,0,0,0,1,0
33,5.54,5.0,5.0,1.0,0.0,100.0,True,0,0,1,0,0,0
34,18.31,2.0,2.0,1.0,0.0,100.0,True,0,0,0,0,0,0
35,2.66,4.9,4.8,1.14,22.2,100.0,False,0,1,0,1,0,0
36,3.98,5.0,5.0,1.0,0.0,60.0,True,1,0,0,1,0,0
38,7.57,5.0,5.0,1.13,25.0,100.0,False,0,0,1,0,0,0
40,7.74,5.0,5.0,1.0,0.0,100.0,False,0,0,0,1,0,0
41,10.96,5.0,4.5,1.0,0.0,100.0,False,0,1,1,0,1,1
42,2.55,5.0,5.0,1.35,40.0,0.0,True,1,0,0,1,0,0
43,18.94,5.0,5.0,1.0,0.0,100.0,False,0,1,1,0,0,0
44,6.53,5.0,3.0,1.0,0.0,75.0,False,0,0,0,0,0,0
46,5.07,5.0,5.0,1.0,0.0,50.0,False,1,0,0,0,1,0
47,4.14,4.8,5.0,1.35,40.0,60.0,False,1,0,1,0,0,1
48,1.93,5.0,5.0,1.0,0.0,75.0,False,0,0,1,1,0,0
49,3.43,4.5,4.3,1.09,5.3,78.9,False,1,0,1,1,0,1
50,4.89,5.0,5.0,1.0,0.0,0.0,True,0,0,1,0,0,0
51,3.64,5.0,4.0,1.0,0.0,50.0,False,0,1,1,0,1,1
52,3.45,4.5,4.5,1.0,0.0,84.6,True,0,0,1,1,0,1
53,2.08,5.0,5.0,1.17,33.3,100.0,False,1,0,1,0,1,0
54,1.27,5.0,5.0,1.0,0.0,100.0,False,1,0,0,0,1,0
55,3.38,5.0,4.7,1.0,0.0,25.0,False,0,1,1,1,0,1
56,2.09,3.8,5.0,1.05,20.0,20.0,True,0,0,1,0,1,1
57,1.55,4.7,3.2,1.14,14.3,42.9,False,0,0,0,1,0,0
58,4.7,4.6,4.7,1.03,5.4,59.5,False,1,0,0,1,0,0
59,4.11,4.7,4.7,1.0,0.0,59.3,True,0,0,0,1,0,1
60,4.78,5.0,5.0,2.0,100.0,0.0,False,1,0,1,0,0,0
61,4.67,5.0,4.0,1.0,0.0,100.0,False,0,0,1,0,0,0
63,2.29,4.5,3.9,1.05,9.1,36.4,False,0,0,1,1,0,1
64,4.72,4.4,5.0,1.0,0.0,40.0,False,0,1,0,0,0,1
65,13.8,5.0,5.0,1.0,0.0,100.0,True,0,0,1,1,0,0
66,4.27,4.2,5.0,1.08,8.3,83.3,True,1,0,1,0,1,0
67,2.01,5.0,4.0,1.0,0.0,0.0,False,1,0,0,0,0,0
68,1.78,4.0,5.0,1.0,0.0,0.0,False,0,0,1,1,0,0
70,5.38,4.8,4.5,1.0,0.0,75.0,False,1,0,1,0,1,1
71,1.92,4.8,5.0,1.19,25.0,0.0,True,0,1,0,1,0,1
74,2.78,4.8,4.7,1.03,11.1,85.2,False,1,0,1,0,1,1
75,8.76,5.0,4.0,1.0,0.0,100.0,True,0,1,1,0,1,1
76,15.57,5.0,3.0,1.0,0.0,100.0,False,1,0,0,0,0,0
77,4.58,4.5,4.7,1.44,50.0,25.0,True,0,1,1,0,0,1
78,6.4,5.0,4.2,1.0,0.0,100.0,True,0,0,1,0,1,1
79,3.14,4.3,4.4,1.0,0.0,76.9,False,0,0,1,1,0,0
81,1.6,5.0,5.0,1.19,22.2,55.6,False,1,0,1,0,0,0
82,3.86,4.8,4.3,1.04,10.0,85.0,False,0,0,1,1,0,1
83,0.99,5.0,5.0,1.0,0.0,0.0,True,0,1,1,1,0,0
85,3.48,5.0,5.0,1.0,0.0,100.0,False,0,0,1,0,1,0
86,1.58,4.5,5.0,1.0,0.0,72.7,True,0,0,0,1,0,1
87,1.88,4.6,4.5,1.0,0.0,25.0,False,0,0,1,1,0,0
88,0.5,5.0,5.0,1.0,0.0,0.0,False,0,0,1,0,0,0
89,14.36,4.5,3.0,1.0,0.0,0.0,False,0,0,1,0,1,0
90,9.31,5.0,5.0,1.05,20.0,20.0,True,1,0,1,0,1,0
91,21.5,5.0,4.4,1.0,0.0,42.9,True,1,0,1,1,0,1
92,8.07,3.0,4.0,1.0,0.0,0.0,False,0,0,1,0,0,0
94,2.89,4.8,4.9,1.1,26.7,60.0,True,1,0,1,1,0,1
95,2.24,4.7,4.5,1.32,50.0,70.0,True,0,1,1,1,0,0
96,2.62,4.8,4.3,1.19,25.0,100.0,False,0,1,0,0,1,1
97,3.17,4.8,4.4,1.19,25.0,55.0,False,0,1,1,1,0,1
98,2.12,5.0,5.0,1.0,0.0,100.0,True,0,0,0,1,0,0
99,2.59,5.0,4.7,1.42,33.3,66.7,False,0,1,1,0,1,0
101,3.81,4.6,4.4,1.07,6.7,46.7,False,0,0,1,0,0,1
102,1.77,5.0,5.0,1.0,0.0,33.3,False,0,1,1,1,0,0
104,9.69,5.0,4.0,1.0,0.0,33.3,True,1,0,1,0,0,0
105,3.68,4.6,4.7,1.09,21.4,42.9,True,0,1,0,1,0,1
106,16.13,5.0,5.0,1.0,0.0,80.0,True,0,1,1,0,0,1
107,4.64,5.0,5.0,1.0,0.0,100.0,True,1,0,1,0,1,1
108,0.95,4.2,4.6,1.15,20.0,40.0,False,0,0,1,0,1,1
109,9.05,5.0,4.5,1.17,33.3,33.3,True,1,0,1,0,0,1
110,3.1,5.0,4.7,1.29,33.3,66.7,False,0,1,1,0,1,1
111,7.32,5.0,5.0,1.23,28.6,57.1,True,0,1,1,0,0,1
112,2.28,4.5,4.9,1.0,0.0,80.0,False,0,0,1,1,0,1
113,1.87,4.8,4.8,1.02,9.1,63.6,False,1,0,1,0,1,1
114,3.26,5.0,4.0,1.0,0.0,100.0,True,1,0,0,0,1,0
115,2.66,4.7,4.7,1.05,13.6,31.8,False,0,0,1,1,0,1
116,3.04,5.0,5.0,1.0,0.0,100.0,False,0,1,1,0,0,0
117,5.16,4.0,5.0,1.0,0.0,0.0,True,0,0,0,0,1,1
120,4.41,5.0,5.0,1.0,0.0,0.0,False,0,0,1,0,0,0
122,3.55,4.9,4.6,1.14,11.4,48.6,True,1,0,1,1,0,1
123,4.42,4.8,4.5,1.0,0.0,0.0,False,0,0,1,1,0,0
124,4.72,4.9,4.6,1.04,8.0,92.0,False,0,0,1,1,0,1
125,7.51,5.0,5.0,1.0,0.0,0.0,False,0,0,0,0,0,0
126,6.33,4.7,4.3,1.0,0.0,50.0,False,0,1,0,0,1,1
127,1.84,5.0,3.8,1.0,0.0,50.0,True,1,0,0,1,0,1
128,2.15,5.0,5.0,1.12,7.7,69.2,False,0,1,1,1,0,1
131,13.95,5.0,4.3,1.31,38.5,7.7,False,0,0,1,1,0,1
132,22.75,5.0,5.0,1.0,0.0,0.0,True,1,0,1,1,0,1
134,2.21,4.5,5.0,1.08,14.3,75.3,False,0,0,1,1,0,1
135,4.7,5.0,4.5,1.38,50.0,50.0,False,1,0,0,0,1,0
136,2.91,4.9,4.5,1.14,18.2,100.0,False,1,0,1,1,0,0
137,6.16,4.7,4.2,1.06,15.4,46.2,False,0,0,1,1,0,1
140,5.02,4.8,4.0,1.0,0.0,75.0,True,0,0,1,0,0,1
143,3.82,4.9,5.0,1.0,0.0,71.4,True,1,0,1,0,1,1
144,5.4,5.0,4.2,1.0,0.0,80.0,True,0,0,1,0,1,1
145,6.62,3.5,4.0,1.0,0.0,75.0,False,0,0,1,0,1,0
146,7.38,4.8,4.3,1.06,11.1,61.1,False,0,0,1,1,0,1
147,1.57,3.0,4.5,1.0,0.0,0.0,True,0,0,1,0,1,0
